
"WebID","Area","Data label","2021","2021%","2016","2016%","2011","2011%","2006","2006%","Data Type",
"110","Docklands (N)","Train","462","4.8982","389","6.6123","230","6.7787","113","4.6104","UR",
"110","Docklands (N)","Bus","46","0.4877","50","0.8499","19","0.5600","15","0.6120","UR",
"110","Docklands (N)","Tram","1012","10.7294","1631","27.7240","599","17.6540","362","14.7695","UR",
"110","Docklands (N)","Ferry","0","","0","","0","","0","","UR",
"110","Docklands (N)","Taxi/ride-share","25","0.2651","15","0.2550","38","1.1200","7","0.2856","UR",
"110","Docklands (N)","Car - as driver","1545","16.3804","1303","22.1486","1001","29.5019","918","37.4541","UR",
"110","Docklands (N)","Car - as passenger","129","1.3677","119","2.0228","87","2.5641","74","3.0192","UR",
"110","Docklands (N)","Truck","4","0.0424","4","0.0680","0","","6","0.2448","UR",
"110","Docklands (N)","Motorbike","55","0.5831","28","0.4759","27","0.7958","24","0.9792","UR",
"110","Docklands (N)","Bicycle","109","1.1556","74","1.2579","51","1.5031","39","1.5912","UR",
"110","Docklands (N)","Walked only","707","7.4958","1431","24.3243","916","26.9968","542","22.1134","UR",
"110","Docklands (N)","Other","150","1.5903","104","1.7678","78","2.2989","47","1.9176","UR",
"110","Docklands (N)","Worked at home","4309","45.6849","253","4.3005","118","3.4777","102","4.1616","UR",
"110","Docklands (N)","Did not go to work","849","9.0013","423","7.1902","199","5.8650","187","7.6295","UR",
"110","Docklands (N)","Not stated","30","0.3181","59","1.0029","30","0.8842","15","0.6120","UR",
"110","Docklands (N)","Total employed persons aged 15+","9432","100.0000","5883","100.0000","3393","100.0000","2451","100.0000","UR",
"120","East Melbourne (N)","Train","66","2.1436","216","7.1571","163","5.1878","115","4.1486","UR",
"120","East Melbourne (N)","Bus","18","0.5846","61","2.0212","39","1.2412","30","1.0823","UR",
"120","East Melbourne (N)","Tram","121","3.9298","361","11.9616","372","11.8396","301","10.8586","UR",
"120","East Melbourne (N)","Ferry","0","","0","","0","","0","","UR",
"120","East Melbourne (N)","Taxi/ride-share","8","0.2598","13","0.4307","43","1.3686","30","1.0823","UR",
"120","East Melbourne (N)","Car - as driver","558","18.1228","805","26.6733","824","26.2253","829","29.9062","UR",
"120","East Melbourne (N)","Car - as passenger","35","1.1367","59","1.9549","52","1.6550","77","2.7778","UR",
"120","East Melbourne (N)","Truck","3","0.0974","0","","0","","3","0.1082","UR",
"120","East Melbourne (N)","Motorbike","5","0.1624","12","0.3976","17","0.5411","16","0.5772","UR",
"120","East Melbourne (N)","Bicycle","67","2.1760","105","3.4791","155","4.9332","86","3.1025","UR",
"120","East Melbourne (N)","Walked only","359","11.6596","814","26.9715","942","29.9809","816","29.4372","UR",
"120","East Melbourne (N)","Other","37","1.2017","64","2.1206","71","2.2597","61","2.2006","UR",
"120","East Melbourne (N)","Worked at home","1501","48.7496","222","7.3559","193","6.1426","132","4.7619","UR",
"120","East Melbourne (N)","Did not go to work","295","9.5810","258","8.5487","259","8.2432","240","8.6580","UR",
"120","East Melbourne (N)","Not stated","6","0.1949","28","0.9278","12","0.3819","36","1.2987","UR",
"120","East Melbourne (N)","Total employed persons aged 15+","3079","100.0000","3018","100.0000","3142","100.0000","2772","100.0000","UR",
"140","Kensington (N)","Train","467","7.0983","1896","30.0380","1525","26.4344","1155","22.6373","UR",
"140","Kensington (N)","Bus","72","1.0944","145","2.2972","77","1.3347","94","1.8602","UR",
"140","Kensington (N)","Tram","39","0.5928","88","1.3942","80","1.3867","66","1.3060","UR",
"140","Kensington (N)","Ferry","3","0.0456","6","0.0951","0","","0","","UR",
"140","Kensington (N)","Taxi/ride-share","21","0.3192","13","0.2060","21","0.3640","21","0.4241","UR",
"140","Kensington (N)","Car - as driver","1497","22.7542","2335","36.9930","2378","41.2203","2248","44.0722","UR",
"140","Kensington (N)","Car - as passenger","95","1.4440","164","2.5982","167","2.8948","220","4.3200","UR",
"140","Kensington (N)","Truck","10","0.1520","10","0.1584","0","","18","0.3528","UR",
"140","Kensington (N)","Motorbike","31","0.4712","39","0.6179","74","1.2827","58","1.1492","UR",
"140","Kensington (N)","Bicycle","256","3.8912","419","6.6381","367","6.3616","206","4.0425","UR",
"140","Kensington (N)","Walked only","207","3.1464","303","4.8004","269","4.6629","256","5.0201","UR",
"140","Kensington (N)","Other","48","0.7296","94","1.4892","57","0.9880","46","0.9070","UR",
"140","Kensington (N)","Worked at home","3051","46.3748","236","3.7389","165","2.8601","143","2.8079","UR",
"140","Kensington (N)","Did not go to work","764","11.6127","537","8.5076","553","9.5857","505","9.9124","UR",
"140","Kensington (N)","Not stated","18","0.2736","27","0.4278","36","0.6240","60","1.1884","UR",
"140","Kensington (N)","Total employed persons aged 15+","6579","100.0000","6312","100.0000","5769","100.0000","5102","100.0000","UR",
"150","Melbourne (N)","Train","2939","11.4854","2013","12.6955","1044","10.6934","548","8.8802","UR",
"150","Melbourne (N)","Bus","404","1.5788","292","1.8416","112","1.1472","78","1.2640","UR",
"150","Melbourne (N)","Tram","3199","12.5015","3774","23.8017","1584","16.2245","729","11.8133","UR",
"150","Melbourne (N)","Ferry","0","","6","0.0378","0","","6","0.0972","UR",
"150","Melbourne (N)","Taxi/ride-share","84","0.3283","59","0.3721","88","0.9014","43","0.6968","UR",
"150","Melbourne (N)","Car - as driver","1871","7.3117","1334","8.4132","941","9.6384","825","13.3690","UR",
"150","Melbourne (N)","Car - as passenger","229","0.8949","156","0.9839","75","0.7682","99","1.6043","UR",
"150","Melbourne (N)","Truck","11","0.0430","6","0.0378","12","0.1229","0","","UR",
"150","Melbourne (N)","Motorbike","208","0.8128","49","0.3090","54","0.5531","24","0.3889","UR",
"150","Melbourne (N)","Bicycle","407","1.5905","228","1.4379","158","1.6184","80","1.2964","UR",
"150","Melbourne (N)","Walked only","4136","16.1632","5724","36.0999","4396","45.0271","2744","44.4661","UR",
"150","Melbourne (N)","Other","375","1.4655","215","1.3560","207","2.1202","86","1.3936","UR",
"150","Melbourne (N)","Worked at home","8141","31.8145","486","3.0651","310","3.1753","201","3.2572","UR",
"150","Melbourne (N)","Did not go to work","3460","13.5214","1365","8.6087","716","7.3338","625","10.1280","UR",
"150","Melbourne (N)","Not stated","125","0.4885","149","0.9397","66","0.6760","83","1.3450","UR",
"150","Melbourne (N)","Total employed persons aged 15+","25589","100.0000","15856","100.0000","9763","100.0000","6171","100.0000","UR",
"160","North Melbourne (N)","Train","426","4.8332","596","8.7084","446","7.5863","275","5.6877","UR",
"160","North Melbourne (N)","Bus","68","0.7715","125","1.8264","88","1.4969","78","1.6132","UR",
"160","North Melbourne (N)","Tram","491","5.5707","1091","15.9410","985","16.7546","693","14.3330","UR",
"160","North Melbourne (N)","Ferry","0","","0","","0","","0","","UR",
"160","North Melbourne (N)","Taxi/ride-share","43","0.4879","39","0.5698","44","0.7484","31","0.6412","UR",
"160","North Melbourne (N)","Car - as driver","1617","18.3458","1625","23.7434","1527","25.9738","1317","27.2389","UR",
"160","North Melbourne (N)","Car - as passenger","126","1.4295","136","1.9871","117","1.9901","135","2.7921","UR",
"160","North Melbourne (N)","Truck","7","0.0794","8","0.1169","6","0.1021","8","0.1655","UR",
"160","North Melbourne (N)","Motorbike","40","0.4538","47","0.6867","42","0.7144","43","0.8893","UR",
"160","North Melbourne (N)","Bicycle","308","3.4944","406","5.9322","382","6.4977","250","5.1706","UR",
"160","North Melbourne (N)","Walked only","1040","11.7994","1557","22.7499","1286","21.8745","1112","22.9990","UR",
"160","North Melbourne (N)","Other","135","1.5317","142","2.0748","142","2.4154","82","1.6960","UR",
"160","North Melbourne (N)","Worked at home","3435","38.9721","292","4.2665","229","3.8952","170","3.5160","UR",
